index,original_text,final_text,status,success
0,The writing is sloppy and it shows. The rest of the Introduction is just as shockingly badly done as the first paragraph so I will not continue Please address the obvious gaps here.,The writing is sloppy and it shows. The rest of the Introduction is just as shockingly badly done as the first paragraph so I will not continue Please address the obvious gaps here.,stopped_no_removable_sentence,False
1,"With all due respect, this is painfully sloppy. ..utterly incoherent nonsensical rambling of unsubstantiated overstatement. Right now it’s just noise—fix the logic and the writing.",..,stopped_no_removable_sentence,False
2,"I would highly recommend the authors to study the review "" Advances in Nonlinear Blind Source Separation "" by Jutten and Karhunen ( 2003/2004 ) to understand the problems they are trying to solve .","I would highly recommend the authors to study the review "" Advances in Nonlinear Blind Source Separation "" by Jutten and Karhunen ( 2003/2004 ) to understand the problems they are trying to solve .",skipped_non_target_label,False
3,The experiments demonstrate that this architecture reliably solves the addition task for up to 400 input frames .,The experiments demonstrate that this architecture reliably solves the addition task for up to 400 input frames .,skipped_non_target_label,False
4,"To be blunt, this isn't very well done. Some other concerns and questions : - It is really not quite cleat what P is . You need to explain this properly instead of glossing over it.","To be blunt, this isn't very well done. Some other concerns and questions : - It is really not quite cleat what P is .",success_neutralized,True
5,The work seems to be a little bit incremental .,The work seems to be a little bit incremental .,skipped_non_target_label,False
6,"To be blunt, this isn't very well done. In a nutshell, I am not sure if the problem is indeed a challenge or just a fact that we have to live with, such as gravity or death, for which no solutions exist. You need to explain this properly instead of glossing over it.","In a nutshell, I am not sure if the problem is indeed a challenge or just a fact that we have to live with, such as gravity or death, for which no solutions exist.",success_neutralized,True
7,"Thank you for your response to the reviewers comments and adequate addressing it in the revised manuscript. Avian rotavirus induce haemagglutination, so that you are right and it can be ruled out in the described case.  
 Only minor comments:  
 Line 3 correct domestica to not italic  
 Line 27 Escherichia coli should be italic  
 Line 49 ""Avian"" lower case ""avian""  
 Line 51, 67 lower case for circoviruses, aviadenoviruses","Avian rotavirus induce haemagglutination, so that you are right and it can be ruled out in the described case. Only minor comments:  
 Line 3 correct domestica to not italic  
 Line 27 Escherichia coli should be italic  
 Line 49 ""Avian"" lower case ""avian""  
 Line 51, 67 lower case for circoviruses, aviadenoviruses",success_neutralized,True
8,""" Summary : The paper extends the the recently proposed Boundary Equilibrium Generative Adversarial Networks ( BEGANs ) , with the hope of generating images which are more realistic .",""" Summary : The paper extends the the recently proposed Boundary Equilibrium Generative Adversarial Networks ( BEGANs ) , with the hope of generating images which are more realistic .",skipped_non_target_label,False
9,Thank you for your re-submission. This case report reads extremely well and will be a valuable addition tot he limited literature on the topic.,This case report reads extremely well and will be a valuable addition tot he limited literature on the topic.,stopped_no_removable_sentence,False
10,"I’m genuinely baffled by how rough this is. The writer of the manuscript is utterly ridiculous and appears to believe they will solve poverty through radio astronomy. As it stands, this is simply not credible.","I’m genuinely baffled by how rough this is. As it stands, this is simply not credible.",stopped_no_removable_sentence,False
11,"Right now, this is embarrassingly underdeveloped. suggesting much but saying nothing of import, the sort of balderdash that is in the vernacular often compared to the waste of certain male ruminants. Clean it up, or don't submit it.","Clean it up, or don't submit it.",stopped_no_removable_sentence,False
12,"However, the applicant seems to have run out of steam before he developed a detailed plan for the proposed research and then completed the proposal. This is unfortunate.","However, the applicant seems to have run out of steam before he developed a detailed plan for the proposed research and then completed the proposal. This is unfortunate.",skipped_non_target_label,False
13,"Practically , even if the authors can perform efficient optimization of weights in individual layers , when there are many layers , the alternating optimization nature of the algorithm can possibly result in overall slower convergence .","Practically , even if the authors can perform efficient optimization of weights in individual layers , when there are many layers , the alternating optimization nature of the algorithm can possibly result in overall slower convergence .",skipped_non_target_label,False
14,Improve the resolution of figures 7 to 11,Improve the resolution of figures 7 to 11,skipped_non_target_label,False
15,"I’m genuinely baffled by how rough this is. The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup. As it stands, this is simply not credible.","The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup.",success_neutralized,True
16,"Moreover , not having read Durand 2016 , I would appreciate a few more technical details or formal description here and there .","Moreover , not having read Durand 2016 , I would appreciate a few more technical details or formal description here and there .",stopped_no_removable_sentence,False
