text,label
The writing is sloppy and it shows. The rest of the Introduction is just as shockingly badly done as the first paragraph so I will not continue Please address the obvious gaps here.,-1
"With all due respect, this is painfully sloppy. ..utterly incoherent nonsensical rambling of unsubstantiated overstatement. Right now it’s just noise—fix the logic and the writing.",-1
"I would highly recommend the authors to study the review "" Advances in Nonlinear Blind Source Separation "" by Jutten and Karhunen ( 2003/2004 ) to understand the problems they are trying to solve .",1
The experiments demonstrate that this architecture reliably solves the addition task for up to 400 input frames .,0
"To be blunt, this isn't very well done. Some other concerns and questions : - It is really not quite cleat what P is . You need to explain this properly instead of glossing over it.",-1
The work seems to be a little bit incremental .,0
"To be blunt, this isn't very well done. In a nutshell, I am not sure if the problem is indeed a challenge or just a fact that we have to live with, such as gravity or death, for which no solutions exist. You need to explain this properly instead of glossing over it.",-1
"Thank you for your response to the reviewers comments and adequate addressing it in the revised manuscript. Avian rotavirus induce haemagglutination, so that you are right and it can be ruled out in the described case.  
 Only minor comments:  
 Line 3 correct domestica to not italic  
 Line 27 Escherichia coli should be italic  
 Line 49 ""Avian"" lower case ""avian""  
 Line 51, 67 lower case for circoviruses, aviadenoviruses",1
""" Summary : The paper extends the the recently proposed Boundary Equilibrium Generative Adversarial Networks ( BEGANs ) , with the hope of generating images which are more realistic .",0
Thank you for your re-submission. This case report reads extremely well and will be a valuable addition tot he limited literature on the topic.,1
"I’m genuinely baffled by how rough this is. The writer of the manuscript is utterly ridiculous and appears to believe they will solve poverty through radio astronomy. As it stands, this is simply not credible.",-1
"Right now, this is embarrassingly underdeveloped. suggesting much but saying nothing of import, the sort of balderdash that is in the vernacular often compared to the waste of certain male ruminants. Clean it up, or don't submit it.",-1
"However, the applicant seems to have run out of steam before he developed a detailed plan for the proposed research and then completed the proposal. This is unfortunate.",0
"Practically , even if the authors can perform efficient optimization of weights in individual layers , when there are many layers , the alternating optimization nature of the algorithm can possibly result in overall slower convergence .",0
Improve the resolution of figures 7 to 11,0
"I’m genuinely baffled by how rough this is. The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup. As it stands, this is simply not credible.",-1
"Moreover , not having read Durand 2016 , I would appreciate a few more technical details or formal description here and there .",0
This manuscript is obviously not suitable for publication in high impact factor journals.,0
The noise may take various forms ( either uncorrelated or factored ) and its magnitude is trained by gradient descent along other parameters .,0
Focusing on discrete targets gains the benefits of quantized networks .,0
Various statements seem to be sweeping and inaccurate generalizations with little robust justification,0
"Authors claim that quote "" As for the determinant of the covariance matrix of Gaussian Process , we cannot easily evaluate or derive its gradient , so we do not include it in our computation . """,0
"As written, this comes off as careless. The major weakness of this paper is the painfully unclear presentation . Right now, it's confusing and poorly justified.",-1
The proposed model is also applied on the task of solving Reverse Polish Notation ( RPN ) expression .,0
This last version is riddled with redundant information and circular phrases.,0
"In the experiments , the authors plotted the training progress w.r.t . the minibatch iterations , I do not know if the minibatch iteration is a proxy for actual runtime ( or number of floating point operations ) .",0
It is always rather pleasant to recommend that a paper be rejected.,0
"I was originally very excited to review this paper, since such a bridge would span uncharted lands – here be dragons! High was my expectation, and so much deeper was my disappointment",0
"Sorry for our long silence, due to some perplexity on our side at reading your manuscript.",1
"This comes across as careless and half-baked. Is this a joke? This needs a real revision, not minor tweaks.",-1
"It's frustrating to read something this poorly put together. It amounts to story-telling If you want this taken seriously, you need to do much better than this.",-1
"This is a comparison of Japanese patients older than 65 or <65 receiving semaglutide. The actual age difference is approximately ten years. They would be well advised to perform age stratification to consider younger patients. 
  
 There was a higher incidence of SAEs in the semaglutide group (4.9%) comapred to none in the dulaglutide group. What is the reason for the differences?",0
"the correlations are not that strong (e.g., p = .022)",0
