text,label
"What about simply running Clang (or, if you want to punish the user with bad error messages, CC) from a Ruby script? What have you tried?",0
Anyone please? A response?,0
Tell us more Mrg. Was he there?,0
"I use that template, because it cannot be missed on a page, because it allows for different reasons for blocking (template:blocked is ""vandalism"", only, and takes 2 edits to change to something else), and because it gives instructions for requesting unblock. What is the objection to it?",-1
Do the scales overlap to some extent (i.e. shared constructs across the questionnaires)?,0
"Should the query also be adapted for `sold`, i.e. should it be `sold__year=year`?",0
Indef-blocked. Any idea whose sock this is?,0
@H.B.: Any chance the `f` was a unicode character instead of a standard f?,-1
"Where are you envisioning this sample content would be located to be automatically imported? I assume you are doing something more complex than just a ""Settings > Import?""",-1
"Although I have no detailed knowledge of the matter, it's my understanding that the BIOS source code appeared in the ""purple book"" that IBM provided to other companies under NDA. Did IBM publish it more openly than that?",0
Why do you need to create static images for the pages at all?  Why not re-render the PDF page as needed at the higher zoom scale?,0
No problem. Have you heard anything new about HRE?,1
"Can you please clarify, if you only care about the weights, why you don't simply do `data[x] += w`? What do you care about besides the weights?",1
"I'm in Outer Mongolia from the 27th till the 10th, UB, Hovsgol, UB. Maybe we can meet?",1
"Yes, I know what a score ''card'' is, but you wrote ""score '''car'''"" in the article. Was that a typo, or is there really such a thing as a score ""car""?",-1
Hi. Do you have any thoughts on <url>?,0
"are BetaH, BetaM, BetaL also parameters (i.e. things to estimate)?",0
"What does ""visible to cities"" mean? What range?",1
"@Eric - Sure, it mitigates it to an extent, but why start with something insecure when it's just as easy to use something more secure (i.e. same code, just swap out algorithm name)?",0
"I saw your notes, and will watch for any objections.  If there are none, in two days, do you mind if I move that page and start the new categorization page/discussion?",1
What is this regarding? OpenGL?,0
This is a fun question.  What kind of device are you hacking?,-1
"While tante's answer should cover your question, one meta-comment to it: It would be much easier to answer if you added your rationale to your question. Maybe there is a work around to your problem not consisting of preventing deletion of the file(s)?",0
"@Mark: Could you clarify something please?  You start by remarking that there is an undecidable problem P that is recognizable, and then observe that if HALT were decidable then we could construct a decider for P.  However, in the texts I have read, things are proved in the other order--the undecidability of HALT is used to demonstrate the existence of such problems P.  Can you show the existence of undecidable yet recognizable problems without using the undecidability of HALT?",0
"Are you using the .NET XML classes, such as the XmlDocument class? Does the build process call the script with arguments?",0
Where does the menu show up on the page? Do you have HTML or (better yet) a [JSFiddle](http://jsfiddle.net/) that we can look at?,1
Sorry :) I dont want to hack the system!! :) is there another way?,-1
I notice you have cleared the last update but the new one is not showing up on the front page on my PC. Is there some reason for that that you know of?,0
This question seems nonsensical as focused beyond hyperfocal seems self-contradictory. Can you elaborate?,0
